time,pillow,method,QUALITYSCORE,severity,flag,reason_code,reason_detail,cur_mm,prev_mm,diff_mm,peer_median_mm,resid_mm,thr_mm,sigma_mm,n_peers_used,peers_used,missing_today_flag,phys_flag,nan_transition_flag,dswe_flag,pred_flag,pred_check_skipped,pred_skip_reason,dq_lo,dq_hi,snow_present_mm,melt_gate,vote_ok_frac,ok_frac_thresh,voters_used,voters_dropped,n_vote_records,dynamic_voters,n_dynamic_voters,use_delta,voters_list,vote_check_skipped,vote_skip_reason,pred_method,pred_method_used,dswe_mm,yhat_mm,se_pred_mm,h0,hist_dq_lo,hist_dq_hi
2025-10-01,KSP,snowmodel,,,0,OK,,0.0,0.0,,,,194.23347054533056,80.89216395521058,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,seasonal,seasonal,0.0,0.0,80.93061272722107,0.0009508438803815883,-50.37327999999999,70.10399999999998
2025-10-01,KUB,snowmodel,,,1,OK,,523.4939999999999,523.4939999999999,,,,119.86942972814414,49.885799846749805,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,seasonal,seasonal,0.0,0.0,49.94559572006006,0.0023987471709887953,-55.02275000000003,80.74024999999997
2025-10-01,KUP,snowmodel,,,0,OK,,0.0,0.0,,,,113.29766035232899,47.17048868266679,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,seasonal,seasonal,0.0,0.0,47.20735848013708,0.0015638679073410886,-52.27320000000001,58.72480000000019
2025-10-01,LLE,snowmodel,,,0,OK,,0.0,0.0,,,,245.38885798853704,102.19442268236654,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,seasonal,seasonal,0.0,0.0,102.24535749522377,0.0009970701874450069,-66.04000000000002,93.98000000000025
2025-10-01,MAM,snowmodel,,,1,MISSING_TODAY,current SWE is NaN,,,,,,,,,,1,0,0,0,0,,,,,,,,,,,,,,,,,,seasonal,seasonal,,,,,,
2025-10-01,MHP,snowmodel,,,0,OK,,0.0,0.0,,,,150.25354762743754,62.57044555803334,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,seasonal,seasonal,0.0,0.0,62.60564484476565,0.0011254255000792705,-54.863999999999976,73.66
2025-10-01,PSR,snowmodel,,,0,OK,,0.0,0.0,,,,182.95935888455918,76.1970777091061,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,seasonal,seasonal,0.0,0.0,76.23306620189966,0.0009448391645233268,-54.86400000000003,79.24799999999996
2025-10-01,SLK,snowmodel,,,0,OK,,0.0,0.0,,,,69.64986789297487,29.00697579276217,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,seasonal,seasonal,0.0,0.0,29.020778288739532,0.000951893773567489,-33.52800000000001,48.76799999999998
2025-10-01,SNF,snowmodel,,,1,MISSING_TODAY,current SWE is NaN,,,,,,,,,,1,0,0,0,0,,,,,,,,,,,,,,,,,,seasonal,seasonal,,,,,,
2025-10-01,STL,snowmodel,,,0,OK,,0.0,0.0,,,,210.49407545154025,87.65879822007858,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,seasonal,seasonal,0.0,0.0,87.7058647714751,0.0010741463047817567,-63.5,73.66000000000003
